EMAP ID	EMAP TERM NAME	EMAPA ID	EMAPA TERM NAME
EMAP:27600	"TS17 nephric duct, metanephric portion"	EMAPA:27599	"nephric duct, metanephric portion"
EMAP:27601	"TS18 nephric duct, metanephric portion"	EMAPA:27599	"nephric duct, metanephric portion"
EMAP:27603	"TS17 nephric duct, pronephric portion"	EMAPA:27602	"nephric duct, pronephric portion"
EMAP:27606	TS18 ureteric tip	EMAPA:27605	ureteric tip
EMAP:27609	TS18 ureteric trunk	EMAPA:27608	ureteric trunk
EMAP:27616	TS19 parametanephric mesenchyme	EMAPA:27615	parametanephric mesenchyme
EMAP:27618	TS19 rostral parametanephric mesenchyme	EMAPA:27617	rostral parametanephric mesenchyme
EMAP:27620	TS19 caudal paramesonephric mesenchyme	EMAPA:27619	caudal paramesonephric mesenchyme
EMAP:27622	TS19 cap mesenchyme	EMAPA:27621	cap mesenchyme
EMAP:27624	TS19 peripheral blastema	EMAPA:27623	peripheral blastema
EMAP:27626	TS19 ureteric tip	EMAPA:27625	ureteric tip
EMAP:27628	TS19 ureteric stalk	EMAPA:27627	ureteric stalk
EMAP:27630	"TS19 nephric duct, metanephric portion"	EMAPA:17377	"nephric duct, metanephric portion"
EMAP:27639	TS19 cloaca	EMAPA:27638	cloaca
EMAP:27641	TS19 cloacal epithelium	EMAPA:27640	cloacal epithelium
EMAP:27643	TS19 cloaca associated mesenchyme	EMAPA:27642	cloaca associated mesenchyme
EMAP:27645	TS19 mesonephros	EMAPA:27644	mesonephros
EMAP:27647	TS18 gonadal mesenchyme	EMAPA:16858	gonadal mesenchyme
EMAP:27648	TS18 central gonadal mesenchyme	EMAPA:27568	central gonadal mesenchyme
EMAP:27649	TS18 posterior gonadal mesenchyme	EMAPA:27570	posterior gonadal mesenchyme
EMAP:27651	TS18 coelomic epithelium	EMAPA:27564	coelomic epithelium
EMAP:27652	TS18 anterior gonadal mesenchyme	EMAPA:27566	anterior gonadal mesenchyme
EMAP:27654	TS19 anterior gonadal mesenchyme	EMAPA:27653	anterior gonadal mesenchyme
EMAP:27656	TS19 central gonadal mesenchyme	EMAPA:27655	central gonadal mesenchyme
EMAP:27658	TS19 posterior gonadal mesenchyme	EMAPA:27657	posterior gonadal mesenchyme
EMAP:27660	TS19 mesonephric tubule	EMAPA:27659	mesonephric tubule
EMAP:27662	TS19 mesonephric mesenchyme	EMAPA:27661	mesonephric mesenchyme
EMAP:27664	"TS19 nephric duct, mesonephric portion"	EMAPA:27663	"nephric duct, mesonephric portion"
EMAP:27666	TS19 paramesonephric duct	EMAPA:27665	paramesonephric duct
EMAP:27672	TS20 nephrogenic interstitium	EMAPA:27671	nephrogenic interstitium
EMAP:27674	TS20 pretubular aggregate	EMAPA:27673	pretubular aggregate
EMAP:27679	TS20 renal vesicle	EMAPA:27678	renal vesicle
EMAP:27680	TS21 renal vesicle	EMAPA:27678	renal vesicle
EMAP:27682	TS20 comma-shaped body	EMAPA:27681	comma-shaped body
EMAP:27683	TS21 comma-shaped body	EMAPA:27681	comma-shaped body
EMAP:27685	TS20 upper limb of comma-shaped body	EMAPA:27684	upper limb of comma-shaped body
EMAP:27686	TS21 upper limb of comma-shaped body	EMAPA:27684	upper limb of comma-shaped body
EMAP:27688	TS20 lower limb of comma-shaped body	EMAPA:27687	lower limb of comma-shaped body
EMAP:27689	TS21 lower limb of comma-shaped body	EMAPA:27687	lower limb of comma-shaped body
EMAP:27691	TS20 renal interstitium	EMAPA:27690	renal interstitium
EMAP:27695	TS20 ureteric tip	EMAPA:27694	ureteric tip
EMAP:27698	TS20 ureteric trunk	EMAPA:27697	ureteric trunk
EMAP:27709	TS20 epithelial layer of ureter	EMAPA:27708	epithelial layer of ureter
EMAP:27712	TS20 ureteral mesenchyme	EMAPA:27711	ureteral mesenchyme
EMAP:27715	TS21 renal capsule	EMAPA:18679	renal capsule
EMAP:27716	TS22 renal capsule	EMAPA:18679	renal capsule
EMAP:27722	TS21 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27723	TS22 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27724	TS23 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27725	TS24 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27726	TS25 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27727	TS26 nephrogenic zone	EMAPA:27721	nephrogenic zone
EMAP:27730	TS22 nephrogenic interstitium	EMAPA:17953	nephrogenic interstitium
EMAP:27731	TS23 nephrogenic interstitium	EMAPA:17953	nephrogenic interstitium
EMAP:27732	TS24 nephrogenic interstitium	EMAPA:17953	nephrogenic interstitium
EMAP:27733	TS25 nephrogenic interstitium	EMAPA:17953	nephrogenic interstitium
EMAP:27734	TS26 nephrogenic interstitium	EMAPA:17953	nephrogenic interstitium
EMAP:27736	TS21 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27737	TS22 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27738	TS23 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27739	TS24 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27740	TS25 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27741	TS26 cap mesenchyme	EMAPA:27735	cap mesenchyme
EMAP:27743	TS21 pretubular aggregate	EMAPA:27742	pretubular aggregate
EMAP:27744	TS22 pretubular aggregate	EMAPA:27742	pretubular aggregate
EMAP:27745	TS23 pretubular aggregate	EMAPA:27742	pretubular aggregate
EMAP:27746	TS24 pretubular aggregate	EMAPA:27742	pretubular aggregate
