term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/PATO_0040020,PATO:0040020,PATO:0040020,spayed female,Female quality of being incapable to reproduce because of functional loss of the ovaries and/or uterus from surgical removal.,,,
http://purl.obolibrary.org/obo/PATO_0000916,PATO:0000916,PATO:0000916,obsolete absolute thickness,,true,,
http://purl.obolibrary.org/obo/PATO_0000726,PATO:0000726,PATO:0000726,obsolete autonomic function value,,true,,
http://purl.obolibrary.org/obo/PATO_0000536,PATO:0000536,PATO:0000536,obsolete water sensitivity value,,true,,
http://purl.obolibrary.org/obo/PATO_0000346,PATO:0000346,PATO:0000346,obsolete sporophyte compatible value,,true,,
http://purl.obolibrary.org/obo/PATO_0001300,PATO:0001300,PATO:0001300,optical quality,An EM radiation quality in which the EM radiation is within the fiat range of the spectrum visible deemed to be light.,,,
http://purl.obolibrary.org/obo/PATO_0002204,PATO:0002204,PATO:0002204,ambidextrous handedness,Handedness where the organism exhibits no overall dominance in the use of right or left hand or foot in the performance of tasks that require one hand or foot or a dominant hand or foot.,,,
http://purl.obolibrary.org/obo/PATO_0001110,PATO:0001110,PATO:0001110,obsolete absolute density value,,true,,
http://purl.obolibrary.org/obo/PATO_0002014,PATO:0002014,PATO:0002014,"structure, cavities",A structural quality that inheres in a bearer by virtue of the bearer's containing hollow areas.,,,
http://purl.obolibrary.org/obo/PATO_0045002,PATO:0045002,PATO:0045002,normal acidity,An acidity which is relatively normal.,,,
http://purl.obolibrary.org/obo/PATO_0000898,PATO:0000898,PATO:0000898,obsolete intercross fertility value,,true,,
http://purl.obolibrary.org/obo/PATO_0001852,PATO:0001852,PATO:0001852,dislocated,"A positional quality inhering in a bearer by virtue of the bearer's being out of its usual or proper place, or position.",,,
http://purl.obolibrary.org/obo/PATO_0001662,PATO:0001662,PATO:0001662,fragility,A structural quality inhering in a bearer by virtue of the bearer's disposition to being damaged or destroyed.,,,
http://purl.obolibrary.org/obo/PATO_0001472,PATO:0001472,PATO:0001472,decreased depth,A depth which is relatively low.,,,
http://purl.obolibrary.org/obo/PATO_0002376,PATO:0002376,PATO:0002376,inflated,A structure quality inhering in a bearer by virtue of the bearer's being filled with air.,,,
http://purl.obolibrary.org/obo/PATO_0001282,PATO:0001282,PATO:0001282,desaturated purple,A color consisting of purple color and low saturation.,,,
http://purl.obolibrary.org/obo/PATO_0002186,PATO:0002186,PATO:0002186,polarity,A molecular quality that inheres in a molecular entity by virtue of whether or not the molecular entity has a separation of electric charge which leads to the molecule having an electric dipole.,,,
http://purl.obolibrary.org/obo/PATO_0001092,PATO:0001092,PATO:0001092,obsolete flux value,,true,,
http://purl.obolibrary.org/obo/PATO_0000309,PATO:0000309,PATO:0000309,young,An age which is relatively low.,,,
http://purl.obolibrary.org/obo/PATO_0000119,PATO:0000119,PATO:0000119,height,A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension.,,,
http://purl.obolibrary.org/obo/PATO_0000911,PATO:0000911,PATO:0000911,decreased rate,A rate which is relatively low.,,,
http://purl.obolibrary.org/obo/PATO_0001815,PATO:0001815,PATO:0001815,fatigability,A strength quality inhering in a bearer by virtue of the bearer's disposition to lose strength.,,,
http://purl.obolibrary.org/obo/PATO_0000721,PATO:0000721,PATO:0000721,obsolete absolute yield value,,true,,
http://purl.obolibrary.org/obo/PATO_0002529,PATO:0002529,PATO:0002529,obsolete profound intensity,,true,PATO:0002629,PATO:0002629
http://purl.obolibrary.org/obo/PATO_0001625,PATO:0001625,PATO:0001625,increased functionality,A functional quality held by the bearer when the latter exhibits increased ability to perform a regular function(s).,,,
http://purl.obolibrary.org/obo/PATO_0000531,PATO:0000531,PATO:0000531,obsolete macronutrient sensitivity value,,true,,
http://purl.obolibrary.org/obo/PATO_0001435,PATO:0001435,PATO:0001435,attachment quality,A structural quality inhering in a bearer by virtue of the bearer's having connection or association with another entity.,,,
http://purl.obolibrary.org/obo/PATO_0002339,PATO:0002339,PATO:0002339,hispid,A quality of being covered with stiff or rough hairs.,,,
http://purl.obolibrary.org/obo/PATO_0000341,PATO:0000341,PATO:0000341,obsolete sporophytic compatability value,,true,,
http://purl.obolibrary.org/obo/PATO_0001245,PATO:0001245,PATO:0001245,dark brown,A color consisting of brown hue and low brightness.,,,
http://purl.obolibrary.org/obo/PATO_0002149,PATO:0002149,PATO:0002149,ivory,A quality inhering in a bearer by virtue of the bearer exhibiting increased density resulting in exhibiting increased degree of radiopacity (in X-rays).,,,
