term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MA_0001332,MA:0001332,MA:0001332,sternal manubrium,,,,
http://purl.obolibrary.org/obo/MA_0002236,MA:0002236,MA:0002236,external thoracic vein,,,,
http://purl.obolibrary.org/obo/MA_0001142,MA:0001142,MA:0001142,superior hypogastric nerve plexus,,,,
http://purl.obolibrary.org/obo/MA_0002046,MA:0002046,MA:0002046,left subclavian artery,,,,
http://purl.obolibrary.org/obo/MA_0003229,MA:0003229,MA:0003229,incisor mesenchyme,,,,
http://purl.obolibrary.org/obo/MA_0000980,MA:0000980,MA:0000980,telencephalon arachnoid matter,,,,
http://purl.obolibrary.org/obo/MA_0002978,MA:0002978,MA:0002978,septal nucleus,,,,
http://purl.obolibrary.org/obo/MA_0002788,MA:0002788,MA:0002788,glottis,,,,
http://purl.obolibrary.org/obo/MA_0001884,MA:0001884,MA:0001884,xiphoid cartilage,,,,
http://purl.obolibrary.org/obo/MA_0003039,MA:0003039,MA:0003039,eccrine sweat gland,,,,
http://purl.obolibrary.org/obo/MA_0000790,MA:0000790,MA:0000790,inguinal mammary gland,,,,
http://purl.obolibrary.org/obo/MA_0001694,MA:0001694,MA:0001694,urinary bladder fundus region,,,,
http://purl.obolibrary.org/obo/MA_0002598,MA:0002598,MA:0002598,kidney inner medulla collecting duct,,,,
http://purl.obolibrary.org/obo/MA_0000201,MA:0000201,MA:0000201,cerebellar layer,,,,
http://purl.obolibrary.org/obo/MA_0001105,MA:0001105,MA:0001105,trochlear IV nerve,,,,
http://purl.obolibrary.org/obo/MA_0002009,MA:0002009,MA:0002009,occipital artery,,,,
http://purl.obolibrary.org/obo/MA_0000011,MA:0000011,MA:0000011,connective tissue,,,,
http://purl.obolibrary.org/obo/MA_0003071,MA:0003071,MA:0003071,gastric lymph node,,,,
http://purl.obolibrary.org/obo/MA_0000943,MA:0000943,MA:0000943,temporal cortex association area,,,,
http://purl.obolibrary.org/obo/MA_0001847,MA:0001847,MA:0001847,main bronchus epithelium,,,,
http://purl.obolibrary.org/obo/MA_0000753,MA:0000753,MA:0000753,spleen capsule,,,,
http://purl.obolibrary.org/obo/MA_0001657,MA:0001657,MA:0001657,glomerulus,,,,
http://purl.obolibrary.org/obo/MA_0002801,MA:0002801,MA:0002801,thoracic duct,,,,
http://purl.obolibrary.org/obo/MA_0000563,MA:0000563,MA:0000563,thoracic segment organ,,,,
http://purl.obolibrary.org/obo/MA_0001467,MA:0001467,MA:0001467,interparietal bone,,,,
http://purl.obolibrary.org/obo/MA_0002611,MA:0002611,MA:0002611,kidney proximal tubule,,,,
http://purl.obolibrary.org/obo/MA_0000373,MA:0000373,MA:0000373,kidney medulla,,,,
http://purl.obolibrary.org/obo/MA_0001277,MA:0001277,MA:0001277,superior oblique extraocular muscle,,,,
http://purl.obolibrary.org/obo/MA_0002421,MA:0002421,MA:0002421,pancreatic islet mantle,,,,
http://purl.obolibrary.org/obo/MA_0000183,MA:0000183,MA:0000183,telencephalon,,,,
http://purl.obolibrary.org/obo/MA_0001087,MA:0001087,MA:0001087,abducens VI nerve,,,,
http://purl.obolibrary.org/obo/MA_0002231,MA:0002231,MA:0002231,sural vein,,,,
http://purl.obolibrary.org/obo/MA_0002041,MA:0002041,MA:0002041,left spermatic artery,,,,
http://purl.obolibrary.org/obo/MA_0003224,MA:0003224,MA:0003224,molar epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002973,MA:0002973,MA:0002973,frontonasal suture,,,,
http://purl.obolibrary.org/obo/MA_0002783,MA:0002783,MA:0002783,bone marrow cavity,,,,
http://purl.obolibrary.org/obo/MA_0003034,MA:0003034,MA:0003034,right hepatic vein,,,,
http://purl.obolibrary.org/obo/MA_0002593,MA:0002593,MA:0002593,arcuate vein,,,,
http://purl.obolibrary.org/obo/MA_0000906,MA:0000906,MA:0000906,frontal association cortex,,,,
http://purl.obolibrary.org/obo/MA_0000716,MA:0000716,MA:0000716,venule endothelium,,,,
http://purl.obolibrary.org/obo/MA_0000526,MA:0000526,MA:0000526,abdominal segment connective tissue,,,,
http://purl.obolibrary.org/obo/MA_0000336,MA:0000336,MA:0000336,rectum,,,,
http://purl.obolibrary.org/obo/MA_0000146,MA:0000146,MA:0000146,skin gland,,,,
http://purl.obolibrary.org/obo/MA_0001100,MA:0001100,MA:0001100,trigeminal V nerve,,,,
http://purl.obolibrary.org/obo/MA_0002004,MA:0002004,MA:0002004,inferior mesenteric artery,,,,
http://purl.obolibrary.org/obo/MA_0000888,MA:0000888,MA:0000888,claustrum,,,,
http://purl.obolibrary.org/obo/MA_0002936,MA:0002936,MA:0002936,bartholin's gland,,,,
http://purl.obolibrary.org/obo/MA_0000698,MA:0000698,MA:0000698,tail intervertebral disc,,,,
http://purl.obolibrary.org/obo/MA_0001842,MA:0001842,MA:0001842,lobar bronchus epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002746,MA:0002746,MA:0002746,superior cerebellar peduncle,,,,
http://purl.obolibrary.org/obo/MA_0001652,MA:0001652,MA:0001652,kidney inner medulla,,,,
http://purl.obolibrary.org/obo/MA_0002556,MA:0002556,MA:0002556,lunate,,,,
http://purl.obolibrary.org/obo/MA_0001462,MA:0001462,MA:0001462,basioccipital bone,,,,
http://purl.obolibrary.org/obo/MA_0002366,MA:0002366,MA:0002366,rectus thoracis,,,,
http://purl.obolibrary.org/obo/MA_0001272,MA:0001272,MA:0001272,levator palpebrae superioris,,,,
